name,description,image,thumbnail,category_url_key
Ahventaulu ,"Ahventaulu, 33x41cm, akryyli, 250€, myydään yhdessä ",ahventaulu.jpg ,ahventaulu_100y.jpg ,akryylit 
Juuret pinnalla ,"Juuret pinnalla, mutta silti niin lujasti maassa, 40x80cm, 250€ ",juuret_pinnalla.jpg ,juuret_pinnalla_100y.jpg ,akryylit 
Kasvi jolla on sydäntä ,"Kasvi jolla on sydäntä, 50x60cm, akryyli, 200€ ",kasvi_jolla_on_sydanta.jpg ,kasvi_jolla_on_sydanta_100y.jpg ,akryylit 
Kampela ,"Kampela, 2x 33x41cm, akryyli, myyty ",kampela.jpg ,kampela_100y.jpg ,akryylit 
