name,description,image,thumbnail,category_url_key
Hirvi ja koira,"Hirvi ja koira, 25x29cm, grafiikkatyö, 80€",hirvi_ja_koira.jpg,hirvi_ja_koira_100y.jpg,grafiikka
Metsän elämää,"Metsän elämää, 25x29cm, grafiikkatyö, 80€",metsan_elamaa.jpg,metsan_elamaa_100y.jpg,grafiikka
Osaset,"Osaset, 12x14,5cm, grafiikkatyö, 50€",graf1.jpg,graf1_100y.jpg,grafiikka
Perhosen kotilo,"Perhosen kotilo, 21,5x15cm, grafiikkatyö, 50€",graf3.jpg,graf3_100y.jpg,grafiikka
Lehdet,"Lehdet, 24,5x15cm, grafiikkatyö, 50€",graf4.jpg,graf4_100y.jpg,grafiikka
Ruusu,"Ruusu, 15x17cm, grafiikkatyö, 50€",graf5.jpg,graf5_100y.jpg,grafiikka
Japaninkukka,"Japaninkukka, 20x24,5cm, grafiikkatyö, 50€",graf2.jpg,graf2_100y.jpg,grafiikka
