name,description,image,thumbnail,category_url_key
Aavikon ruusu ,"Aavikon ruusu, 73x53cm, akvarelli, 450€",aavikon_ruusu.jpg,aavikon_ruusu_100y.jpg,akvarellit
Ränsistynyt kuusi,"Ränsistynyt kuusi, 53x73cm, akvarelli, 350€",ransistynyt_kuusi.jpg,ransistynyt_kuusi_100y.jpg,akvarellit
Noitarumpu,"Noitarumpu, 51x77cm, akvarelli, ei myytävänä",noitarumpu.jpg,noitarumpu_100y.jpg,akvarellit
Skeittari poika,"Skeittari poika, 53x73cm, akvarelli, ei myytävänä",skeittari_poika.jpg,skeittari_poika_100y.jpg,akvarellit
Rumpali poika,"Rumpali poika, 53x73cm, akvarelli, ei myytävänä",rumpaliukko.jpg,rumpaliukko_100y.jpg,akvarellit
