name,description,image,thumbnail,category_url_key
Jouluikkuna ostoksilla,"Jouluikkuna ostoksilla, 15x10cm, joulukortti",jouluikkuna_ostoksilla.jpg,jouluikkuna_ostoksilla_100y.jpg,joulukortit
Pukkia odotellessa,"Pukkia odotellessa, 15x10cm, joulukortti",pukkia_odotellessa.jpg,pukkia_odotellessa_100y.jpg,joulukortit
Lumiukon iloinen joulu,"Lumiukon iloinen joulu, 15x10cm, joulukortti",lumiukon_iloinen_joulu.jpg,lumiukon_iloinen_joulu_100y.jpg,joulukortit
Nilin asukin Joulu,"Nilin asukin Joulu, 15x10cm, joulukortti",nilin_asukin_joulu.jpg,nilin_asukin_joulu_100y.jpg,joulukortit
Lumiporo ja iloiset veitikat,"Lumiporo ja iloiset veitikat, 15x10cm, joulukortti",lumiporo_ja_iloiset_veitikat.jpg,lumiporo_ja_iloiset_veitikat_100y.jpg,joulukortit
Onko kilttejä lapsia?,"Onko kilttejä lapsia?, 15x10cm, joulukortti",onko_kiltteja_lapsia.jpg,onko_kiltteja_lapsia_100y.jpg,joulukortit
Oma kotienkeli,"Oma kotienkeli, 15x10cm, joulukortti",oma_kotienkeli.jpg,oma_kotienkeli_100y.jpg,joulukortit
Hyvän Joulun sanantuoja,"Hyvän Joulun sanantuoja, 15x10cm, joulukortti",hyvan_joulun_sanantuoja.jpg,hyvan_joulun_sanantuoja_100y.jpg,joulukortit
